CBSA_Code,CBSA_Name,Trader_Code,Trader_Name,Exports,Imports,Volume,Balance
10420,"Akron, OH",005rem,Remainder of South America,89.61270142,36.06379347,125.6764949,53.54890795
10420,"Akron, OH",011,Western Africa,12.60596619,9.131831213,21.7377974,3.474134977
10420,"Akron, OH",013rem,Remainder of Central America,55.56549685,52.80924164,108.3747385,2.756255214
10420,"Akron, OH",014,Eastern Africa,3.419330778,2.772112349,6.191443127,0.647218429
10420,"Akron, OH",015,Northern Africa,17.62720062,20.09301707,37.72021769,-2.465816454
10420,"Akron, OH",017,Middle Africa,6.049727219,2.968430075,9.018157294,3.081297144
10420,"Akron, OH",018rem,Remainder of Southern Africa,0.447110128,1.747239974,2.194350102,-1.300129846
10420,"Akron, OH",021rem,Remainder of Northern America,2.335062674,0.092581626,2.4276443,2.242481048
10420,"Akron, OH",029,Caribbean,63.71818187,39.38849967,103.1066815,24.3296822
10420,"Akron, OH",030rem,Remainder of Eastern Asia,0.286073337,0.02017116,0.306244496,0.265902177
10420,"Akron, OH",032,Argentina,30.80349946,14.57261594,45.3761154,16.23088351
10420,"Akron, OH",034rem,Remainder of Southern Asia,11.02008859,25.8206248,36.84071338,-14.80053621
10420,"Akron, OH",035rem,Remainder of South-Eastern Asia,65.24820278,146.1211931,211.3693959,-80.87299037
10420,"Akron, OH",039rem,Remainder of Southern Europe,45.04764327,88.23205737,133.2797006,-43.1844141
10420,"Akron, OH",053,Australia and New Zealand,57.54773319,23.60620607,81.15393926,33.94152712
10420,"Akron, OH",054,Melanesia,0.43554771,0.672649472,1.108197182,-0.237101762
10420,"Akron, OH",057,Micronesia,0.801451525,0.021871996,0.823323521,0.77957953
10420,"Akron, OH",061,Polynesia,0.156161338,0.101090738,0.257252077,0.0550706
10420,"Akron, OH",076,Brazil,140.0439247,77.59316937,217.6370941,62.45075533
10420,"Akron, OH",124,Canada,695.6800039,515.0348355,1210.714839,180.6451684
10420,"Akron, OH",143,Central Asia,2.32386768,3.10100666,5.424874339,-0.77713898
10420,"Akron, OH",145rem,Remainder of Western Asia,133.0781904,63.79471476,196.8729051,69.2834756
10420,"Akron, OH",151,Eastern Europe,39.11034031,78.7339003,117.8442406,-39.62355999
10420,"Akron, OH",152,Chile,33.30410442,17.8195377,51.12364212,15.48456672
10420,"Akron, OH",154rem,Remainder of Northern Europe,56.69470185,132.5901987,189.2849006,-75.89549686
10420,"Akron, OH",155rem,Remainder of Western Europe,158.7376043,102.9247214,261.6623258,55.81288286
10420,"Akron, OH",156,China,329.4175683,864.8518993,1194.269468,-535.434331
