"Geo_Type","Geo_Div","Geo_ID","Geo_Description","Geo_ID_Val"
"Domestic","100","10420","Akron",10420
"Domestic","100","10580","Albany-Schenectady-Troy",10580
"Domestic","100","10740","Albuquerque",10740
"Domestic","100","10900","Allentown-Bethlehem-Easton",10900
"Domestic","100","12060","Atlanta-Sandy Springs-Marietta",12060
"Domestic","100","12260","Augusta-Richmond County",12260
"Domestic","100","12420","Austin-Round Rock",12420
"Domestic","100","12540","Bakersfield",12540
"Domestic","100","12580","Baltimore-Towson",12580
"Domestic","100","12940","Baton Rouge",12940
"Domestic","100","13820","Birmingham-Hoover",13820
"Domestic","100","14260","Boise City-Nampa",14260
"Domestic","100","14460","Boston-Cambridge-Quincy",14460
"Domestic","100","14860","Bridgeport-Stamford-Norwalk",14860
"Domestic","100","15380","Buffalo-Niagara Falls",15380
"Domestic","100","15980","Cape Coral-Fort Myers",15980
"Domestic","100","16700","Charleston-North Charleston",16700
"Domestic","100","16740","Charlotte-Gastonia-Concord",16740
"Domestic","100","16860","Chattanooga",16860
"Domestic","100","16980","Chicago-Naperville-Joliet",16980
"Domestic","100","17140","Cincinnati-Middletown",17140
"Domestic","100","17460","Cleveland-Elyria-Mentor",17460
"Domestic","100","17820","Colorado Springs",17820
"Domestic","100","17900","Columbia",17900
"Domestic","100","18140","Columbus",18140
"Domestic","100","19100","Dallas-Fort Worth-Arlington",19100
"Domestic","100","19380","Dayton",19380
"Domestic","100","19740","Denver-Aurora",19740
"Domestic","100","19780","Des Moines",19780
"Domestic","100","19820","Detroit-Warren-Livonia",19820
"Domestic","100","21340","El Paso",21340
"Domestic","100","23420","Fresno",23420
"Domestic","100","24340","Grand Rapids-Wyoming",24340
"Domestic","100","24660","Greensboro-High Point",24660
"Domestic","100","24860","Greenville",24860
"Domestic","100","25420","Harrisburg-Carlisle",25420
"Domestic","100","25540","Hartford-West Hartford-East Hartford",25540
"Domestic","100","26180","Honolulu",26180
"Domestic","100","26420","Houston-Baytown-Sugar Land",26420
"Domestic","100","26900","Indianapolis",26900
"Domestic","100","27140","Jackson",27140
"Domestic","100","27260","Jacksonville",27260
"Domestic","100","28140","Kansas City",28140
"Domestic","100","28940","Knoxville",28940
"Domestic","100","29460","Lakeland",29460
"Domestic","100","29540","Lancaster",29540
"Domestic","100","29820","Las Vegas-Paradise",29820
"Domestic","100","30780","Little Rock-North Little Rock",30780
"Domestic","100","31100","Los Angeles-Long Beach-Santa Ana",31100
"Domestic","100","31140","Louisville",31140
"Domestic","100","31540","Madison",31540
"Domestic","100","32580","McAllen-Edinburg-Pharr",32580
"Domestic","100","32820","Memphis",32820
"Domestic","100","33100","Miami-Fort Lauderdale-Miami Beach",33100
"Domestic","100","33340","Milwaukee-Waukesha-West Allis",33340
"Domestic","100","33460","Minneapolis-St. Paul-Bloomington",33460
"Domestic","100","33700","Modesto",33700
"Domestic","100","34980","Nashville-Davidson--Murfreesboro",34980
"Domestic","100","35300","New Haven-Milford",35300
"Domestic","100","35380","New Orleans-Metairie-Kenner",35380
"Domestic","100","35620","New York-Northern New Jersey-Long Island",35620
"Domestic","100","36260","Ogden-Clearfield",36260
"Domestic","100","36420","Oklahoma City",36420
"Domestic","100","36540","Omaha-Council Bluffs",36540
"Domestic","100","36740","Orlando",36740
"Domestic","100","37100","Oxnard-Thousand Oaks-Ventura",37100
"Domestic","100","37340","Palm Bay-Melbourne-Titusville",37340
"Domestic","100","37980","Philadelphia-Camden-Wilmington",37980
"Domestic","100","38060","Phoenix-Mesa-Scottsdale",38060
"Domestic","100","38300","Pittsburgh",38300
"Domestic","100","38900","Portland-Vancouver-Beaverton",38900
"Domestic","100","39100","Poughkeepsie-Newburgh-Middletown",39100
"Domestic","100","39300","Providence-New Bedford-Fall River",39300
"Domestic","100","39340","Provo-Orem",39340
"Domestic","100","39580","Raleigh-Cary",39580
"Domestic","100","40060","Richmond",40060
"Domestic","100","40140","Riverside-San Bernardino-Ontario",40140
"Domestic","100","40380","Rochester",40380
"Domestic","100","40900","Sacramento--Arden-Arcade--Roseville",40900
"Domestic","100","41180","St. Louis",41180
"Domestic","100","41620","Salt Lake City",41620
"Domestic","100","41700","San Antonio",41700
"Domestic","100","41740","San Diego-Carlsbad-San Marcos",41740
"Domestic","100","41860","San Francisco-Oakland-Fremont",41860
"Domestic","100","41940","San Jose-Sunnyvale-Santa Clara",41940
"Domestic","100","42260","Sarasota-Bradenton-Venice",42260
"Domestic","100","42540","Scranton--Wilkes-Barre",42540
"Domestic","100","42660","Seattle-Tacoma-Bellevue",42660
"Domestic","100","44140","Springfield",44140
"Domestic","100","44700","Stockton",44700
"Domestic","100","45060","Syracuse",45060
"Domestic","100","45300","Tampa-St. Petersburg-Clearwater",45300
"Domestic","100","45780","Toledo",45780
"Domestic","100","46060","Tucson",46060
"Domestic","100","46140","Tulsa",46140
"Domestic","100","47260","Virginia Beach-Norfolk-Newport News",47260
"Domestic","100","47900","Washington-Arlington-Alexandria",47900
"Domestic","100","48620","Wichita",48620
"Domestic","100","49340","Worcester",49340
"Domestic","100","49660","Youngstown-Warren-Boardman",49660
"Domestic","Other","10180","Abilene",10180
"Domestic","Other","10500","Albany",10500
"Domestic","Other","10780","Alexandria",10780
"Domestic","Other","11020","Altoona",11020
"Domestic","Other","11100","Amarillo",11100
"Domestic","Other","11180","Ames",11180
"Domestic","Other","11260","Anchorage",11260
"Domestic","Other","11300","Anderson",11300
"Domestic","Other","11340","Anderson",11340
"Domestic","Other","11460","Ann Arbor",11460
"Domestic","Other","11500","Anniston-Oxford",11500
"Domestic","Other","11540","Appleton",11540
"Domestic","Other","11700","Asheville",11700
"Domestic","Other","12020","Athens-Clarke County",12020
"Domestic","Other","12100","Atlantic City",12100
"Domestic","Other","12220","Auburn-Opelika",12220
"Domestic","Other","12620","Bangor",12620
"Domestic","Other","12700","Barnstable Town",12700
"Domestic","Other","12980","Battle Creek",12980
"Domestic","Other","13020","Bay City",13020
"Domestic","Other","13140","Beaumont-Port Arthur",13140
"Domestic","Other","13380","Bellingham",13380
"Domestic","Other","13460","Bend",13460
"Domestic","Other","13740","Billings",13740
"Domestic","Other","13780","Binghamton",13780
"Domestic","Other","13900","Bismarck",13900
"Domestic","Other","13980","Blacksburg-Christiansburg-Radford",13980
"Domestic","Other","14020","Bloomington",14020
"Domestic","Other","14060","Bloomington-Normal",14060
"Domestic","Other","14500","Boulder",14500
"Domestic","Other","14540","Bowling Green",14540
"Domestic","Other","14740","Bremerton-Silverdale",14740
"Domestic","Other","15180","Brownsville-Harlingen",15180
"Domestic","Other","15260","Brunswick",15260
"Domestic","Other","15500","Burlington",15500
"Domestic","Other","15540","Burlington-South Burlington",15540
"Domestic","Other","15940","Canton-Massillon",15940
"Domestic","Other","16180","Carson City",16180
"Domestic","Other","16220","Casper",16220
"Domestic","Other","16300","Cedar Rapids",16300
"Domestic","Other","16580","Champaign-Urbana",16580
"Domestic","Other","16620","Charleston",16620
"Domestic","Other","16820","Charlottesville",16820
"Domestic","Other","16940","Cheyenne",16940
"Domestic","Other","17020","Chico",17020
"Domestic","Other","17300","Clarksville",17300
"Domestic","Other","17420","Cleveland",17420
"Domestic","Other","17660","Coeur d'Alene",17660
"Domestic","Other","17780","College Station-Bryan",17780
"Domestic","Other","17860","Columbia",17860
"Domestic","Other","17980","Columbus",17980
"Domestic","Other","18020","Columbus",18020
"Domestic","Other","18580","Corpus Christi",18580
"Domestic","Other","18700","Corvallis",18700
"Domestic","Other","19060","Cumberland",19060
"Domestic","Other","19140","Dalton",19140
"Domestic","Other","19180","Danville",19180
"Domestic","Other","19260","Danville",19260
"Domestic","Other","19340","Davenport-Moline-Rock Island",19340
"Domestic","Other","19460","Decatur",19460
"Domestic","Other","19500","Decatur",19500
"Domestic","Other","19660","Deltona-Daytona Beach-Ormond Beach",19660
"Domestic","Other","20020","Dothan",20020
"Domestic","Other","20100","Dover",20100
"Domestic","Other","20220","Dubuque",20220
"Domestic","Other","20260","Duluth",20260
"Domestic","Other","20500","Durham",20500
"Domestic","Other","20740","Eau Claire",20740
"Domestic","Other","20940","El Centro",20940
"Domestic","Other","21060","Elizabethtown",21060
"Domestic","Other","21140","Elkhart-Goshen",21140
"Domestic","Other","21300","Elmira",21300
"Domestic","Other","21500","Erie",21500
"Domestic","Other","21660","Eugene-Springfield",21660
"Domestic","Other","21780","Evansville",21780
"Domestic","Other","21820","Fairbanks",21820
"Domestic","Other","22020","Fargo",22020
"Domestic","Other","22140","Farmington",22140
"Domestic","Other","22180","Fayetteville",22180
"Domestic","Other","22220","Fayetteville-Springdale-Rogers",22220
"Domestic","Other","22380","Flagstaff",22380
"Domestic","Other","22420","Flint",22420
"Domestic","Other","22500","Florence",22500
"Domestic","Other","22520","Florence-Muscle Shoals",22520
"Domestic","Other","22540","Fond du Lac",22540
"Domestic","Other","22660","Fort Collins-Loveland",22660
"Domestic","Other","22900","Fort Smith",22900
"Domestic","Other","23020","Fort Walton Beach-Crestview-Destin",23020
"Domestic","Other","23060","Fort Wayne",23060
"Domestic","Other","23460","Gadsden",23460
"Domestic","Other","23540","Gainesville",23540
"Domestic","Other","23580","Gainesville",23580
"Domestic","Other","24020","Glens Falls",24020
"Domestic","Other","24140","Goldsboro",24140
"Domestic","Other","24220","Grand Forks",24220
"Domestic","Other","24300","Grand Junction",24300
"Domestic","Other","24500","Great Falls",24500
"Domestic","Other","24540","Greeley",24540
"Domestic","Other","24580","Green Bay",24580
"Domestic","Other","24780","Greenville",24780
"Domestic","Other","25060","Gulfport-Biloxi",25060
"Domestic","Other","25180","Hagerstown-Martinsburg",25180
"Domestic","Other","25260","Hanford-Corcoran",25260
"Domestic","Other","25500","Harrisonburg",25500
"Domestic","Other","25620","Hattiesburg",25620
"Domestic","Other","25860","Hickory-Lenoir-Morganton",25860
"Domestic","Other","25980","Hinesville-Fort Stewart",25980
"Domestic","Other","26100","Holland-Grand Haven",26100
"Domestic","Other","26300","Hot Springs",26300
"Domestic","Other","26380","Houma-Bayou Cane-Thibodaux",26380
"Domestic","Other","26580","Huntington-Ashland",26580
"Domestic","Other","26620","Huntsville",26620
"Domestic","Other","26820","Idaho Falls",26820
"Domestic","Other","26980","Iowa City",26980
"Domestic","Other","27060","Ithaca",27060
"Domestic","Other","27100","Jackson",27100
"Domestic","Other","27180","Jackson",27180
"Domestic","Other","27340","Jacksonville",27340
"Domestic","Other","27500","Janesville",27500
"Domestic","Other","27620","Jefferson City",27620
